iter	Logloss
499	0.5020330599
500	0.5019405579
501	0.5017920915
502	0.5017909202
503	0.5016450518
504	0.5016396465
505	0.5016368828
506	0.5015864804
507	0.5015789763
508	0.5013874414
509	0.5012497786
510	0.5012347145
511	0.5011795677
512	0.5011561145
513	0.5010960298
514	0.5010129336
515	0.5010060983
516	0.5009864556
517	0.5009680172
518	0.5008968997
519	0.5008890444
520	0.5008256486
521	0.5006257011
522	0.500623398
523	0.5006162201
524	0.500572522
525	0.5005144658
526	0.5004565392
527	0.5003768965
528	0.5001632877
529	0.5001541535
530	0.5001435136
531	0.5001208718
532	0.5001069
533	0.500090879
534	0.5000862457
535	0.4999566636
536	0.4999054214
537	0.4998834618
538	0.4998674509
539	0.4998623118
540	0.499841215
541	0.4997341034
542	0.4996527517
543	0.4996316122
544	0.4996147376
545	0.4995090497
546	0.4994607382
547	0.4994559828
548	0.4994103757
549	0.4993976914
