iter	Logloss
0	0.6542434211
1	0.629788805
2	0.6150151559
3	0.6115141555
4	0.6031250037
5	0.5977778774
6	0.5935297249
7	0.5907924804
8	0.589184574
9	0.58768484
10	0.5857936942
11	0.5842904249
12	0.582191371
13	0.5812118187
14	0.5802060461
15	0.5792497569
16	0.578758136
17	0.578106839
18	0.5775851004
19	0.5768605686
20	0.5756928256
21	0.5751329787
22	0.5744449735
23	0.5719623245
24	0.5716215212
25	0.5710233562
26	0.5702723206
27	0.570038459
28	0.5697752689
29	0.5690230571
30	0.5685655807
31	0.5681331289
32	0.5673599856
33	0.5668107372
34	0.5660402154
35	0.565721605
36	0.565512044
37	0.5649485307
38	0.5640760801
39	0.5638862045
40	0.5634736502
41	0.5630203029
42	0.5624305584
43	0.5621368634
44	0.5619035917
45	0.561753966
46	0.5611888489
47	0.5609536206
48	0.5607778132
49	0.5603443277
50	0.5599790758
51	0.5595864445
52	0.5593810859
53	0.5591727462
54	0.5588938951
55	0.5587397678
56	0.5583473274
57	0.5581881927
58	0.5579513244
59	0.5575771804
60	0.5574018567
61	0.5567646693
62	0.5565868052
63	0.5563719102
64	0.5561595153
65	0.5560117296
66	0.5558092808
67	0.5556774572
68	0.5556325991
69	0.5554050287
70	0.5550029438
71	0.5545609309
72	0.5543463642
73	0.554059272
74	0.5538258801
75	0.5537205517
76	0.553313248
77	0.5530376298
78	0.5527096308
79	0.5523845138
80	0.5521604399
81	0.551782843
82	0.5513870129
83	0.5512506504
84	0.5511514681
85	0.5509470339
86	0.5507566952
87	0.5505812293
88	0.550343962
89	0.5499672512
90	0.5498619715
91	0.5497103764
92	0.549647884
93	0.5494845784
94	0.5493776788
95	0.5489710222
96	0.5486445694
97	0.5485070538
98	0.5482280601
99	0.5478509566
100	0.5477597161
101	0.5472971033
102	0.5471273168
103	0.5469323302
104	0.5467237656
105	0.5465733745
106	0.54614805
107	0.5460035946
108	0.5459075448
109	0.5456732147
110	0.545337378
111	0.5449583912
112	0.5447977023
113	0.5447128099
114	0.5444389329
115	0.544224104
116	0.543123883
117	0.5430752859
118	0.542836677
119	0.5425329306
120	0.542349235
121	0.5419299806
122	0.5416676032
123	0.5413929407
124	0.5412909092
125	0.5410548208
126	0.5409352807
127	0.5407550453
128	0.5405569102
129	0.540293441
130	0.5400416093
131	0.5398429074
132	0.5397888137
133	0.5395133358
134	0.5393740742
135	0.5391446583
136	0.5388916682
137	0.5386479517
138	0.5384465166
139	0.5382088014
140	0.5380746336
141	0.5379158058
142	0.5376222328
143	0.5374375485
144	0.5372429865
145	0.5371355836
146	0.5369849443
147	0.5367777873
148	0.5366116181
149	0.5363868748
150	0.536200564
151	0.5358356762
152	0.5355523693
153	0.5353825474
154	0.5352442647
155	0.5351639101
156	0.535010433
157	0.5348461528
158	0.5347055774
159	0.5345041663
160	0.5343111727
161	0.5340461893
162	0.5338918632
163	0.5337179215
164	0.5335694063
165	0.5334486728
166	0.5334144048
167	0.533229269
168	0.5331506659
169	0.532994272
170	0.5327988889
171	0.53275778
172	0.5326922903
173	0.5326655858
174	0.5325961727
175	0.5325365101
176	0.532478725
177	0.5323417382
178	0.532191261
179	0.5320434789
180	0.531759331
181	0.5316436769
182	0.531542514
183	0.5314246187
184	0.5311209519
185	0.5311124004
186	0.5309293028
187	0.530866769
188	0.5307205382
189	0.5305393375
190	0.5304182491
191	0.5303414651
192	0.5301892244
193	0.5300172524
194	0.5298774504
195	0.5297599201
196	0.5296345134
197	0.5294913346
198	0.5293774892
199	0.5292611471
200	0.5292025978
201	0.5290574465
202	0.5290466982
203	0.528934502
204	0.5287080016
205	0.5285761285
206	0.5284034752
207	0.5283165479
208	0.528130183
209	0.5280456008
210	0.5278528517
211	0.5276627878
212	0.5274487252
213	0.527328786
214	0.527292012
215	0.527184638
216	0.5270118826
217	0.5269836313
218	0.5267408541
219	0.526693602
220	0.5265883639
221	0.5264213968
222	0.5261058208
223	0.5259877313
224	0.5258098116
225	0.5257518427
226	0.5256373781
227	0.5255711879
228	0.5255116937
229	0.5253760938
230	0.525282661
231	0.5252686108
232	0.5249408055
233	0.5246838913
234	0.5246303988
235	0.5241530782
236	0.524020149
237	0.523672313
238	0.52359917
239	0.5235057522
240	0.5233697224
241	0.5232105648
242	0.52320576
243	0.5231064891
244	0.5227376837
245	0.522619713
246	0.5224774581
247	0.5224204912
248	0.5223974999
249	0.5222855028
250	0.5221822412
251	0.5221202015
252	0.5220514542
253	0.5219679375
254	0.5217901261
255	0.5217052188
256	0.5216598259
257	0.5214896985
258	0.5212099607
259	0.521202888
260	0.5208828784
261	0.5208260359
262	0.5204272822
263	0.5203498165
264	0.5202323555
265	0.5201547249
266	0.5200758448
267	0.5200495029
268	0.5197502698
269	0.5195372993
270	0.5193739066
271	0.5192507875
272	0.5191124665
273	0.5189962613
274	0.5189311018
275	0.5187700818
276	0.5186653948
277	0.5186357475
278	0.5186223289
279	0.5185340903
280	0.5184701199
281	0.5183802654
282	0.5182298414
283	0.5181788441
284	0.5179816403
285	0.5178437311
286	0.51776335
287	0.5176067925
288	0.5175676507
289	0.5175094705
290	0.5174264862
291	0.5173881144
292	0.5173575518
293	0.5173390115
294	0.5172301156
295	0.51705914
296	0.5169662331
297	0.5169517628
298	0.5169044305
299	0.5168409904
300	0.5167797411
301	0.5167225727
302	0.5167164805
303	0.5166633714
304	0.516638842
305	0.5164884894
306	0.5163710378
307	0.5163377593
308	0.5162646346
309	0.5162282022
310	0.5161123622
311	0.5160295081
312	0.5160119928
313	0.5157096318
314	0.5156651276
315	0.5156050481
316	0.5155010874
317	0.5154375824
318	0.5153929715
319	0.5153514809
320	0.5153134319
321	0.5152872207
322	0.5150931941
323	0.514983863
324	0.514952819
325	0.5149457469
326	0.5147743017
327	0.5147700064
328	0.5146028669
329	0.5144912327
330	0.5143602205
331	0.5143054588
332	0.5142423394
333	0.514099152
334	0.5140729698
335	0.5140246009
336	0.5138507923
337	0.5135984176
338	0.5134925097
339	0.5133345984
340	0.5133222487
341	0.5133191701
342	0.5132578212
343	0.5130424129
344	0.5130304938
345	0.5130224331
346	0.5127819947
347	0.5125812113
348	0.5124562285
349	0.5122868317
350	0.5121814182
351	0.5121623773
352	0.5120942613
353	0.5120726716
354	0.5119703387
355	0.5118566796
356	0.5118429965
357	0.511776162
358	0.5116393675
359	0.5114465048
360	0.5113963684
361	0.5113646097
362	0.5113526173
363	0.5112719798
364	0.5111936433
365	0.5111786728
366	0.5111466465
367	0.5111125233
368	0.5110369153
369	0.5109405783
370	0.51078749
371	0.5106663341
372	0.5105531423
373	0.5105190957
374	0.5104519943
375	0.5104021243
376	0.5103470046
377	0.5102398823
378	0.5101479285
379	0.5100997371
380	0.5100053008
381	0.5098857569
382	0.5098290009
383	0.5097590023
384	0.5096798498
385	0.5095812189
386	0.5094004458
387	0.5092875523
388	0.5092604344
389	0.5092323863
390	0.5091666569
391	0.509133457
392	0.509094722
393	0.5087733639
394	0.508658984
395	0.5085420477
396	0.5084907046
397	0.5082493951
398	0.5081913335
399	0.5081837381
400	0.5081741189
401	0.5080384678
402	0.5078842991
403	0.5078661368
404	0.5078233205
405	0.5076841335
406	0.507640506
407	0.5076312981
408	0.5076155044
409	0.5075906695
410	0.5075583206
411	0.5075559179
412	0.5075246519
413	0.5074905587
414	0.5074815757
415	0.5074752591
416	0.5074230087
417	0.5073197198
418	0.5073070564
419	0.507244746
420	0.5071328512
421	0.5070665316
422	0.5068994119
423	0.5068368775
424	0.5067997576
425	0.5066870282
426	0.5065079652
427	0.5064466287
428	0.5063335404
429	0.5062228921
430	0.5062153857
431	0.5061636598
432	0.5061567212
433	0.5060233541
434	0.5060139949
435	0.5060090133
436	0.5059749824
437	0.50597083
438	0.5059634659
439	0.505858499
440	0.5058521115
441	0.505844994
442	0.5057822499
443	0.5057202959
444	0.5057156713
445	0.5056711276
446	0.5056571673
447	0.5054995424
448	0.5054233931
449	0.5052947689
450	0.5052632372
451	0.5052576784
452	0.5051464716
453	0.5050905084
454	0.505075199
455	0.5050661375
456	0.5050432231
457	0.5049753179
458	0.5048758736
459	0.5046827144
460	0.5046261032
461	0.5046185214
462	0.5045508412
463	0.5044995045
464	0.5044709642
465	0.5044308773
466	0.5043575241
467	0.504315209
468	0.5043103832
469	0.5043032707
470	0.5042959967
471	0.5042045384
472	0.5040837877
473	0.5040259952
474	0.5040234957
475	0.5040174467
476	0.5039783027
477	0.5039329326
478	0.5037539081
479	0.5035015776
480	0.5033921098
481	0.5033794926
482	0.5033680519
483	0.5032556354
484	0.5031202731
485	0.5030594113
486	0.5030275807
487	0.5030081339
488	0.502760387
489	0.5027048231
490	0.5026851874
491	0.5026485628
492	0.502604955
493	0.5025334099
494	0.50233157
495	0.5022039598
496	0.5021751731
497	0.5021526786
498	0.5020616622
