iter	Passed	Remaining
163	1525	6382
164	1533	6364
165	1542	6354
166	1551	6345
167	1561	6338
168	1570	6327
169	1575	6302
170	1584	6293
171	1593	6282
172	1603	6273
173	1611	6261
174	1621	6252
175	1630	6242
176	1636	6223
177	1653	6241
178	1664	6240
179	1672	6225
180	1680	6211
181	1689	6201
182	1697	6186
183	1706	6176
184	1715	6165
185	1722	6147
186	1731	6137
187	1740	6127
188	1749	6119
189	1757	6103
190	1766	6095
191	1775	6084
192	1784	6075
193	1792	6062
194	1801	6052
195	1810	6041
196	1817	6024
197	1824	6009
198	1831	5992
199	1840	5983
200	1850	5974
201	1857	5957
202	1864	5942
203	1875	5937
204	1885	5933
205	1894	5922
206	1902	5908
207	1911	5898
208	1919	5888
209	1930	5882
210	1939	5873
211	1948	5863
212	1958	5857
213	1968	5850
214	1977	5839
215	1986	5829
216	1993	5814
217	2002	5805
218	2012	5797
219	2021	5788
220	2030	5779
221	2039	5769
222	2046	5753
223	2052	5735
224	2061	5727
225	2068	5711
226	2078	5703
227	2086	5692
228	2096	5684
229	2105	5675
230	2114	5665
231	2123	5656
232	2129	5639
233	2145	5649
234	2158	5647
235	2167	5638
236	2175	5626
237	2182	5612
238	2189	5597
239	2198	5587
240	2207	5578
241	2216	5569
242	2226	5560
243	2231	5541
244	2238	5527
245	2245	5513
246	2254	5503
247	2263	5495
248	2272	5485
249	2282	5477
250	2291	5468
251	2300	5458
252	2309	5449
253	2315	5433
254	2325	5425
255	2334	5416
256	2339	5398
257	2347	5386
258	2356	5377
259	2364	5366
260	2372	5354
261	2380	5343
262	2388	5330
263	2396	5319
264	2405	5310
265	2412	5296
266	2421	5286
267	2430	5278
268	2440	5270
269	2446	5255
270	2455	5246
271	2462	5233
272	2471	5222
273	2479	5212
274	2487	5201
275	2497	5193
276	2506	5185
277	2516	5177
278	2524	5167
279	2533	5158
280	2540	5144
281	2549	5134
282	2564	5138
283	2578	5139
284	2587	5130
285	2596	5120
286	2606	5112
287	2613	5099
288	2620	5087
289	2630	5078
290	2639	5070
291	2652	5067
292	2659	5056
293	2669	5048
294	2678	5039
295	2687	5029
296	2695	5018
297	2702	5005
298	2711	4995
299	2720	4987
300	2730	4979
301	2739	4970
302	2748	4961
303	2758	4953
304	2764	4939
305	2771	4927
306	2778	4914
307	2787	4905
308	2795	4894
309	2803	4882
310	2812	4873
311	2821	4864
312	2830	4856
313	2837	4843
314	2844	4831
315	2854	4823
316	2865	4818
317	2876	4811
318	2884	4801
319	2893	4792
320	2903	4784
321	2915	4780
322	2925	4773
323	2934	4763
324	2943	4754
325	2952	4746
326	2959	4733
327	2969	4725
328	2978	4716
329	2987	4706
330	2995	4697
331	3006	4690
332	3014	4680
333	3022	4670
334	3032	4661
335	3042	4653
336	3050	4644
337	3061	4637
338	3070	4628
339	3079	4619
340	3088	4609
341	3097	4601
342	3106	4592
343	3114	4581
344	3123	4572
345	3133	4564
346	3147	4561
347	3155	4551
348	3164	4543
349	3173	4534
350	3183	4525
351	3192	4516
352	3201	4507
353	3210	4497
354	3218	4487
355	3227	4478
356	3234	4466
357	3243	4457
358	3252	4448
359	3258	4434
360	3267	4426
361	3273	4413
362	3283	4404
363	3290	4392
364	3298	4382
365	3307	4374
366	3316	4365
367	3325	4355
368	3332	4344
369	3341	4335
370	3347	4322
371	3356	4313
372	3365	4304
373	3373	4293
374	3382	4284
375	3390	4274
376	3399	4265
377	3409	4256
378	3418	4248
379	3424	4235
380	3430	4222
381	3439	4214
382	3446	4202
383	3455	4193
384	3464	4184
385	3469	4170
386	3477	4160
387	3483	4148
388	3491	4138
389	3500	4128
390	3509	4119
391	3516	4109
392	3526	4100
393	3535	4091
394	3544	4083
395	3553	4073
396	3561	4063
397	3570	4055
398	3578	4044
399	3587	4036
400	3592	4022
401	3601	4013
402	3608	4002
403	3617	3993
404	3631	3989
405	3640	3981
406	3647	3970
407	3658	3963
408	3664	3951
409	3673	3942
410	3680	3931
411	3689	3921
412	3698	3913
413	3707	3904
414	3714	3894
415	3723	3884
416	3730	3873
417	3737	3862
418	3745	3852
419	3753	3843
420	3761	3833
421	3770	3823
422	3778	3814
423	3786	3804
424	3794	3794
425	3803	3785
426	3813	3777
427	3821	3768
428	3829	3758
429	3839	3750
430	3846	3739
431	3857	3732
432	3864	3721
433	3873	3713
434	3882	3704
435	3890	3693
436	3900	3686
437	3910	3678
438	3922	3671
439	3929	3661
440	3937	3651
441	3943	3640
442	3950	3629
443	3959	3620
444	3968	3611
445	3977	3603
446	3982	3590
447	3990	3580
448	3999	3571
449	4007	3562
450	4014	3551
451	4022	3541
452	4028	3530
453	4037	3522
454	4045	3512
455	4054	3503
456	4064	3494
457	4071	3485
458	4077	3473
459	4084	3462
460	4093	3453
461	4100	3443
462	4107	3433
463	4115	3423
464	4124	3414
465	4132	3404
466	4141	3396
467	4150	3388
468	4158	3378
469	4165	3367
470	4172	3357
471	4180	3348
472	4188	3338
473	4197	3329
474	4205	3319
475	4211	3309
476	4217	3298
477	4224	3288
478	4231	3277
479	4238	3267
480	4246	3257
481	4253	3247
482	4262	3238
483	4270	3229
484	4277	3219
485	4284	3209
486	4292	3199
487	4299	3189
488	4307	3180
489	4312	3168
490	4321	3159
491	4329	3150
492	4335	3139
493	4342	3129
494	4351	3120
495	4358	3110
496	4368	3102
497	4375	3092
498	4383	3083
499	4398	3079
500	4407	3070
501	4417	3062
502	4426	3054
503	4436	3045
504	4443	3035
505	4453	3027
506	4462	3018
507	4468	3008
508	4474	2997
509	4481	2987
510	4489	2978
511	4496	2968
512	4504	2959
513	4512	2949
514	4520	2940
515	4527	2930
516	4534	2920
517	4539	2909
518	4546	2899
519	4557	2892
520	4566	2883
521	4573	2873
522	4582	2865
523	4590	2856
524	4598	2846
525	4605	2836
526	4621	2832
527	4635	2827
528	4645	2818
529	4653	2809
530	4659	2799
531	4672	2793
532	4681	2784
533	4688	2774
534	4696	2765
535	4702	2754
536	4709	2745
537	4716	2735
538	4724	2726
539	4730	2715
540	4740	2707
541	4745	2696
542	4754	2688
543	4761	2678
544	4770	2669
545	4777	2659
546	4783	2649
547	4793	2641
548	4800	2631
549	4808	2622
550	4814	2612
551	4822	2603
552	4829	2593
553	4835	2583
554	4846	2576
555	4855	2567
556	4862	2557
557	4870	2548
558	4879	2540
559	4889	2531
560	4899	2524
561	4910	2516
562	4919	2507
563	4926	2498
564	4933	2488
565	4940	2479
566	4948	2469
567	4956	2460
568	4962	2450
569	4971	2442
570	4980	2433
571	4990	2425
572	4999	2417
573	5008	2408
574	5016	2399
575	5023	2389
576	5031	2380
577	5037	2370
578	5046	2362
579	5057	2354
580	5065	2345
581	5071	2335
582	5079	2326
583	5087	2317
584	5097	2309
585	5103	2299
586	5109	2289
587	5123	2282
588	5133	2274
589	5141	2265
590	5147	2255
591	5154	2246
592	5160	2236
593	5167	2227
594	5175	2218
595	5184	2209
596	5190	2199
597	5196	2189
598	5203	2180
599	5212	2172
600	5221	2163
601	5227	2153
602	5237	2145
603	5244	2136
604	5253	2127
605	5259	2117
606	5268	2109
607	5278	2100
608	5286	2092
609	5294	2082
610	5303	2074
611	5310	2065
612	5315	2055
613	5325	2046
614	5334	2038
615	5341	2029
616	5348	2019
617	5354	2010
618	5361	2000
619	5368	1991
620	5375	1982
621	5382	1973
622	5389	1963
623	5397	1954
624	5405	1945
625	5414	1937
626	5422	1928
627	5429	1919
628	5435	1909
629	5441	1900
630	5450	1891
631	5457	1882
632	5466	1873
633	5473	1864
634	5481	1855
635	5489	1847
636	5498	1838
637	5506	1829
638	5513	1820
639	5519	1811
640	5527	1802
641	5534	1793
642	5540	1783
643	5546	1774
644	5556	1766
645	5565	1757
646	5572	1748
647	5578	1738
648	5586	1730
649	5593	1721
650	5605	1713
651	5615	1705
652	5623	1696
653	5630	1687
654	5639	1679
655	5646	1669
656	5653	1660
657	5660	1651
658	5666	1642
659	5673	1633
660	5678	1623
661	5687	1615
662	5693	1605
663	5703	1597
664	5710	1588
665	5719	1580
666	5728	1571
667	5734	1562
668	5742	1553
669	5748	1544
670	5755	1535
671	5764	1526
672	5773	1518
673	5782	1509
674	5791	1501
675	5799	1492
676	5809	1484
677	5816	1475
678	5826	1467
679	5837	1459
680	5845	1450
681	5854	1442
682	5862	1433
683	5869	1424
684	5878	1415
685	5893	1408
686	5902	1400
687	5909	1391
688	5918	1382
689	5924	1373
690	5932	1364
691	5938	1356
692	5944	1346
693	5951	1337
694	5960	1329
695	5966	1320
696	5973	1311
697	5982	1302
698	5989	1293
699	5997	1285
700	6004	1276
701	6010	1267
702	6016	1258
703	6022	1248
704	6029	1240
705	6036	1231
706	6043	1222
707	6055	1214
708	6064	1206
709	6071	1197
710	6078	1188
711	6085	1179
712	6099	1171
713	6109	1163
714	6117	1155
715	6123	1145
716	6129	1137
717	6137	1128
718	6144	1119
719	6152	1110
720	6158	1101
721	6166	1093
722	6174	1084
723	6182	1075
724	6189	1067
725	6195	1058
726	6201	1049
727	6211	1040
728	6220	1032
729	6227	1023
730	6235	1015
731	6244	1006
732	6253	998
733	6259	989
734	6265	980
735	6271	971
736	6278	962
737	6287	954
738	6294	945
739	6303	936
740	6310	928
741	6318	919
742	6327	911
743	6334	902
744	6341	893
745	6348	885
746	6357	876
747	6366	868
748	6374	859
749	6381	850
750	6392	842
751	6398	833
752	6407	825
753	6413	816
754	6421	807
755	6428	799
756	6433	790
757	6440	781
758	6449	773
759	6458	764
760	6465	756
761	6472	747
762	6478	738
763	6486	730
764	6494	721
765	6502	713
766	6510	704
767	6516	695
768	6523	687
769	6528	678
770	6535	669
771	6541	660
772	6548	652
773	6556	643
774	6564	635
775	6573	626
776	6582	618
777	6594	610
778	6606	602
779	6612	593
780	6620	584
781	6627	576
782	6634	567
783	6639	558
784	6647	550
785	6652	541
786	6659	533
787	6666	524
788	6672	515
789	6681	507
790	6690	499
791	6695	490
792	6701	481
793	6707	473
794	6714	464
795	6723	456
796	6729	447
797	6738	439
798	6744	430
799	6753	422
800	6759	413
801	6768	405
802	6775	396
803	6782	388
804	6789	379
805	6797	371
806	6804	362
807	6813	354
808	6821	345
809	6828	337
810	6836	328
811	6843	320
812	6852	311
813	6861	303
814	6870	295
815	6878	286
816	6890	278
817	6899	269
818	6906	261
819	6913	252
820	6919	244
821	6925	235
822	6931	227
823	6937	218
824	6946	210
825	6952	202
826	6958	193
827	6964	185
828	6970	176
829	6979	168
830	6987	159
831	6992	151
832	7001	142
833	7007	134
834	7012	125
835	7021	117
836	7029	109
837	7035	100
838	7041	92
839	7048	83
840	7056	75
841	7062	67
842	7070	58
843	7078	50
844	7085	41
845	7099	33
846	7106	25
847	7112	16
848	7119	8
849	7126	0
